gene,gene_id,chromosome,type
TDRD3,ENSG00000083544,13,protein_coding
NUFIP1,ENSG00000083635,13,protein_coding
PDS5B,ENSG00000083642,13,protein_coding
OXCT1,ENSG00000083720,5,protein_coding
RRAGB,ENSG00000083750,X,protein_coding
EPYC,ENSG00000083782,12,protein_coding
CYLD,ENSG00000083799,16,protein_coding
SLC27A5,ENSG00000083807,19,protein_coding
ZNF324,ENSG00000083812,19,protein_coding
ZNF671,ENSG00000083814,19,protein_coding
ZNF416,ENSG00000083817,19,protein_coding
ZNF586,ENSG00000083828,19,protein_coding
ZNF446,ENSG00000083838,19,protein_coding
ZNF264,ENSG00000083844,19,protein_coding
RPS5,ENSG00000083845,19,protein_coding
FAT1,ENSG00000083857,4,protein_coding
YTHDC1,ENSG00000083896,4,protein_coding
CHMP2B,ENSG00000083937,3,protein_coding
SMAP2,ENSG00000084070,1,protein_coding
PPIE,ENSG00000084072,1,protein_coding
ZMPSTE24,ENSG00000084073,1,protein_coding
STARD7,ENSG00000084090,2,protein_coding
NOA1,ENSG00000084092,4,protein_coding
REST,ENSG00000084093,4,protein_coding
HAL,ENSG00000084110,12,protein_coding
SSH1,ENSG00000084112,12,protein_coding
GSTP1,ENSG00000084207,11,protein_coding
APLP2,ENSG00000084234,11,protein_coding
FAM234B,ENSG00000084444,12,protein_coding
SLCO1A2,ENSG00000084453,12,protein_coding
WBP11,ENSG00000084463,12,protein_coding
EIF3I,ENSG00000084623,1,protein_coding
NKAIN1,ENSG00000084628,1,protein_coding
COL16A1,ENSG00000084636,1,protein_coding
TXLNA,ENSG00000084652,1,protein_coding
APOB,ENSG00000084674,2,protein_coding
NCOA1,ENSG00000084676,2,protein_coding
AGBL5,ENSG00000084693,2,protein_coding
EFR3B,ENSG00000084710,2,protein_coding
KIF3C,ENSG00000084731,2,protein_coding
RAB10,ENSG00000084733,2,protein_coding
GCKR,ENSG00000084734,2,protein_coding
HADHA,ENSG00000084754,2,protein_coding
MAPRE3,ENSG00000084764,2,protein_coding
CAD,ENSG00000084774,2,protein_coding
CD59,ENSG00000085063,11,protein_coding
CD82,ENSG00000085117,11,protein_coding
BCORL1,ENSG00000085185,X,protein_coding
ATRX,ENSG00000085224,X,protein_coding
AK6,ENSG00000085231,5,protein_coding
FCN1,ENSG00000085265,9,protein_coding
MYNN,ENSG00000085274,3,protein_coding
MECOM,ENSG00000085276,3,protein_coding
SCAMP1,ENSG00000085365,5,protein_coding
PREP,ENSG00000085377,6,protein_coding
HACE1,ENSG00000085382,6,protein_coding
SEH1L,ENSG00000085415,18,protein_coding
WDR47,ENSG00000085433,1,protein_coding
WDFY1,ENSG00000085449,2,protein_coding
OVGP1,ENSG00000085465,1,protein_coding
SLC25A24,ENSG00000085491,1,protein_coding
MAP3K4,ENSG00000085511,6,protein_coding
PILRA,ENSG00000085514,7,protein_coding
IGSF9,ENSG00000085552,1,protein_coding
ABCB1,ENSG00000085563,7,protein_coding
ZNF213,ENSG00000085644,16,protein_coding
AKR1B1,ENSG00000085662,7,protein_coding
CPNE3,ENSG00000085719,8,protein_coding
RRN3,ENSG00000085721,16,protein_coding
CTTN,ENSG00000085733,11,protein_coding
WNT11,ENSG00000085741,11,protein_coding
MTIF2,ENSG00000085760,2,protein_coding
DDHD2,ENSG00000085788,8,protein_coding
TTC39A,ENSG00000085831,1,protein_coding
EPS15,ENSG00000085832,1,protein_coding
ORC1,ENSG00000085840,1,protein_coding
MGST2,ENSG00000085871,4,protein_coding
CHERP,ENSG00000085872,19,protein_coding
ATG16L1,ENSG00000085978,2,protein_coding
USP40,ENSG00000085982,2,protein_coding
POMGNT1,ENSG00000085998,1,protein_coding
RAD54L,ENSG00000085999,1,protein_coding
MAST2,ENSG00000086015,1,protein_coding
DNAJA1,ENSG00000086061,9,protein_coding
B4GALT1,ENSG00000086062,9,protein_coding
CHMP5,ENSG00000086065,9,protein_coding
NFX1,ENSG00000086102,9,protein_coding
AQP6,ENSG00000086159,12,protein_coding
DIMT1,ENSG00000086189,5,protein_coding
IPO11,ENSG00000086200,5,protein_coding
FOLH1,ENSG00000086205,11,protein_coding
EIF2AK1,ENSG00000086232,7,protein_coding
NME8,ENSG00000086288,7,protein_coding
EPDR1,ENSG00000086289,7,protein_coding
SNX10,ENSG00000086300,7,protein_coding
SEPHS1,ENSG00000086475,10,protein_coding
MRPL28,ENSG00000086504,16,protein_coding
HBQ1,ENSG00000086506,16,protein_coding
ITPKC,ENSG00000086544,19,protein_coding
CEACAM6,ENSG00000086548,19,protein_coding
FAT2,ENSG00000086570,5,protein_coding
RBM22,ENSG00000086589,5,protein_coding
TMED2,ENSG00000086598,12,protein_coding
ERO1B,ENSG00000086619,1,protein_coding
ZFAND6,ENSG00000086666,15,protein_coding
HSD17B2,ENSG00000086696,16,protein_coding
TXLNG,ENSG00000086712,X,protein_coding
PPEF1,ENSG00000086717,X,protein_coding
LAT2,ENSG00000086730,7,protein_coding
HUWE1,ENSG00000086758,X,protein_coding
ZW10,ENSG00000086827,11,protein_coding
ALG9,ENSG00000086848,11,protein_coding
MYBPC2,ENSG00000086967,19,protein_coding
NOX4,ENSG00000086991,11,protein_coding
ACOX3,ENSG00000087008,4,protein_coding
MTMR2,ENSG00000087053,11,protein_coding
PPP1R15A,ENSG00000087074,19,protein_coding
HSD17B14,ENSG00000087076,19,protein_coding
TRIP6,ENSG00000087077,7,protein_coding
ACHE,ENSG00000087085,7,protein_coding
FTL,ENSG00000087086,19,protein_coding
SRRT,ENSG00000087087,7,protein_coding
BAX,ENSG00000087088,19,protein_coding
NLK,ENSG00000087095,17,protein_coding
PIGS,ENSG00000087111,17,protein_coding
ADAMTS2,ENSG00000087116,5,protein_coding
TMPRSS11E,ENSG00000087128,4,protein_coding
ATXN7L3,ENSG00000087152,17,protein_coding
PGS1,ENSG00000087157,17,protein_coding
PSMC5,ENSG00000087191,17,protein_coding
UIMC1,ENSG00000087206,5,protein_coding
CETP,ENSG00000087237,16,protein_coding
MMP2,ENSG00000087245,16,protein_coding
MT3,ENSG00000087250,16,protein_coding
LPCAT2,ENSG00000087253,16,protein_coding
GNAO1,ENSG00000087258,16,protein_coding
OGFOD1,ENSG00000087263,16,protein_coding
SH3BP2,ENSG00000087266,4,protein_coding
NOP14,ENSG00000087269,4,protein_coding
ADD1,ENSG00000087274,4,protein_coding
L2HGDH,ENSG00000087299,14,protein_coding
TXNDC16,ENSG00000087301,14,protein_coding
NID2,ENSG00000087303,14,protein_coding
GMCL1,ENSG00000087338,2,protein_coding
SF3B2,ENSG00000087365,11,protein_coding
KLHL42,ENSG00000087448,12,protein_coding
GNAS,ENSG00000087460,20,protein_coding
DNM1L,ENSG00000087470,12,protein_coding
PTHLH,ENSG00000087494,12,protein_coding
PHACTR3,ENSG00000087495,20,protein_coding
ERGIC2,ENSG00000087502,12,protein_coding
TFAP2C,ENSG00000087510,20,protein_coding
AURKA,ENSG00000087586,20,protein_coding
CASS4,ENSG00000087589,20,protein_coding
PIR,ENSG00000087842,X,protein_coding
AAMDC,ENSG00000087884,11,protein_coding
RFX2,ENSG00000087903,19,protein_coding
METTL2A,ENSG00000087995,17,protein_coding
SULT2B1,ENSG00000088002,19,protein_coding
ALG6,ENSG00000088035,1,protein_coding
CNOT3,ENSG00000088038,19,protein_coding
GP6,ENSG00000088053,19,protein_coding
PTPN4,ENSG00000088179,2,protein_coding
DDX18,ENSG00000088205,2,protein_coding
KHSRP,ENSG00000088247,19,protein_coding
GNA11,ENSG00000088256,19,protein_coding
ASAP3,ENSG00000088280,1,protein_coding
EDEM2,ENSG00000088298,20,protein_coding
DNMT3B,ENSG00000088305,20,protein_coding
REM1,ENSG00000088320,20,protein_coding
TPX2,ENSG00000088325,20,protein_coding
PDRG1,ENSG00000088356,20,protein_coding
EPB41L1,ENSG00000088367,20,protein_coding
SLC15A1,ENSG00000088386,13,protein_coding
DOCK9,ENSG00000088387,13,protein_coding
ANKRD10,ENSG00000088448,13,protein_coding
TGDS,ENSG00000088451,13,protein_coding
DOCK3,ENSG00000088538,3,protein_coding
C3orf18,ENSG00000088543,3,protein_coding
COQ9,ENSG00000088682,16,protein_coding
TMEM40,ENSG00000088726,3,protein_coding
KIF9,ENSG00000088727,3,protein_coding
ARHGAP28,ENSG00000088756,18,protein_coding
CRLS1,ENSG00000088766,20,protein_coding
DEFB127,ENSG00000088782,20,protein_coding
PPP1R13B,ENSG00000088808,14,protein_coding
ATRN,ENSG00000088812,20,protein_coding
SMOX,ENSG00000088826,20,protein_coding
SIGLEC1,ENSG00000088827,20,protein_coding
FKBP1A,ENSG00000088832,20,protein_coding
NSFL1C,ENSG00000088833,20,protein_coding
SLC4A11,ENSG00000088836,20,protein_coding
ZNF343,ENSG00000088876,20,protein_coding
EBF4,ENSG00000088881,20,protein_coding
CPXM1,ENSG00000088882,20,protein_coding
MAVS,ENSG00000088888,20,protein_coding
LZTS3,ENSG00000088899,20,protein_coding
F11,ENSG00000088926,4,protein_coding
XRN2,ENSG00000088930,20,protein_coding
KIZ,ENSG00000088970,20,protein_coding
DYNLL1,ENSG00000088986,12,protein_coding
TESC,ENSG00000088992,12,protein_coding
SNX5,ENSG00000089006,20,protein_coding
RPL6,ENSG00000089009,12,protein_coding
SIRPG,ENSG00000089012,20,protein_coding
MAPKAPK5,ENSG00000089022,12,protein_coding
P2RX7,ENSG00000089041,12,protein_coding
ESF1,ENSG00000089048,20,protein_coding
RBBP9,ENSG00000089050,20,protein_coding
ANAPC5,ENSG00000089053,12,protein_coding
SLC23A2,ENSG00000089057,20,protein_coding
SLC8B1,ENSG00000089060,12,protein_coding
TMEM230,ENSG00000089063,20,protein_coding
DZANK1,ENSG00000089091,20,protein_coding
KDM2B,ENSG00000089094,12,protein_coding
CFAP61,ENSG00000089101,20,protein_coding
LHX5,ENSG00000089116,12,protein_coding
TASP1,ENSG00000089123,20,protein_coding
OAS1,ENSG00000089127,12,protein_coding
GCN1,ENSG00000089154,12,protein_coding
RPLP0,ENSG00000089157,12,protein_coding
PXN,ENSG00000089159,12,protein_coding
SIRT4,ENSG00000089163,12,protein_coding
RPH3A,ENSG00000089169,12,protein_coding
KIF16B,ENSG00000089177,20,protein_coding
TRMT6,ENSG00000089195,20,protein_coding
CHGB,ENSG00000089199,20,protein_coding
PEBP1,ENSG00000089220,12,protein_coding
TBX5,ENSG00000089225,12,protein_coding
BRAP,ENSG00000089234,12,protein_coding
ERP29,ENSG00000089248,12,protein_coding
NOS1,ENSG00000089250,12,protein_coding
FUS,ENSG00000089280,16,protein_coding
IGBP1,ENSG00000089289,X,protein_coding
FXYD5,ENSG00000089327,19,protein_coding
ZNF302,ENSG00000089335,19,protein_coding
GRAMD1A,ENSG00000089351,19,protein_coding
FXYD3,ENSG00000089356,19,protein_coding
HEPH,ENSG00000089472,X,protein_coding
CDIP1,ENSG00000089486,16,protein_coding
CMTM1,ENSG00000089505,16,protein_coding
KCNH4,ENSG00000089558,17,protein_coding
GANAB,ENSG00000089597,11,protein_coding
GMIP,ENSG00000089639,19,protein_coding
RBM41,ENSG00000089682,X,protein_coding
BIRC5,ENSG00000089685,17,protein_coding
LAG3,ENSG00000089692,12,protein_coding
MLF2,ENSG00000089693,12,protein_coding
OTUB2,ENSG00000089723,14,protein_coding
DDX24,ENSG00000089737,14,protein_coding
ZBTB25,ENSG00000089775,14,protein_coding
NECAP1,ENSG00000089818,12,protein_coding
ARHGAP4,ENSG00000089820,X,protein_coding
ANKRD24,ENSG00000089847,19,protein_coding
DHX32,ENSG00000089876,10,protein_coding
RCOR1,ENSG00000089902,14,protein_coding
GPATCH2L,ENSG00000089916,14,protein_coding
LTBP4,ENSG00000090006,19,protein_coding
BLVRB,ENSG00000090013,19,protein_coding
SLC9A1,ENSG00000090020,1,protein_coding
SPTLC1,ENSG00000090054,9,protein_coding
PAPOLA,ENSG00000090060,14,protein_coding
CCNK,ENSG00000090061,14,protein_coding
PCBP4,ENSG00000090097,3,protein_coding
RGS1,ENSG00000090104,1,protein_coding
YPEL3,ENSG00000090238,16,protein_coding
MRPS33,ENSG00000090263,7,protein_coding
NDUFB2,ENSG00000090266,7,protein_coding
NUDC,ENSG00000090273,1,protein_coding
MAEA,ENSG00000090316,4,protein_coding
ICAM1,ENSG00000090339,19,protein_coding
STRN4,ENSG00000090372,19,protein_coding
IRAK3,ENSG00000090376,12,protein_coding
LYZ,ENSG00000090382,12,protein_coding
SI,ENSG00000090402,3,protein_coding
MUL1,ENSG00000090432,1,protein_coding
TFAP4,ENSG00000090447,16,protein_coding
PDCD7,ENSG00000090470,15,protein_coding
SPG21,ENSG00000090487,15,protein_coding
FETUB,ENSG00000090512,3,protein_coding
DNAJB11,ENSG00000090520,3,protein_coding
P3H2,ENSG00000090530,3,protein_coding
THPO,ENSG00000090534,3,protein_coding
CHRD,ENSG00000090539,3,protein_coding
FLT3LG,ENSG00000090554,19,protein_coding
RAB11FIP3,ENSG00000090565,16,protein_coding
GNPTG,ENSG00000090581,16,protein_coding
ZNF268,ENSG00000090612,12,protein_coding
GOLGA3,ENSG00000090615,12,protein_coding
PABPC4,ENSG00000090621,1,protein_coding
CD209,ENSG00000090659,19,protein_coding
CERS4,ENSG00000090661,19,protein_coding
MCOLN1,ENSG00000090674,19,protein_coding
USP48,ENSG00000090686,1,protein_coding
EFNB1,ENSG00000090776,X,protein_coding
PDPR,ENSG00000090857,16,protein_coding
GLG1,ENSG00000090863,16,protein_coding
KIF4A,ENSG00000090889,X,protein_coding
TNRC6A,ENSG00000090905,16,protein_coding
PLEKHG2,ENSG00000090924,19,protein_coding
DLL3,ENSG00000090932,19,protein_coding
NAT14,ENSG00000090971,19,protein_coding
PITPNM2,ENSG00000090975,12,protein_coding
EXOC1,ENSG00000090989,4,protein_coding
RBM27,ENSG00000091009,5,protein_coding
POU4F3,ENSG00000091010,5,protein_coding
OSBPL8,ENSG00000091039,12,protein_coding
DTX2,ENSG00000091073,7,protein_coding
NLRC4,ENSG00000091106,2,protein_coding
PUS7,ENSG00000091127,7,protein_coding
LAMB4,ENSG00000091128,7,protein_coding
NRCAM,ENSG00000091129,7,protein_coding
LAMB1,ENSG00000091136,7,protein_coding
SLC26A4,ENSG00000091137,7,protein_coding
SLC26A3,ENSG00000091138,7,protein_coding
DLD,ENSG00000091140,7,protein_coding
WDR7,ENSG00000091157,18,protein_coding
TXNL1,ENSG00000091164,18,protein_coding
IL5RA,ENSG00000091181,3,protein_coding
ABCC6,ENSG00000091262,16,protein_coding
CMTM6,ENSG00000091317,3,protein_coding
ITGA6,ENSG00000091409,2,protein_coding
RAPGEF4,ENSG00000091428,2,protein_coding
MAP3K20,ENSG00000091436,2,protein_coding
SMPX,ENSG00000091482,X,protein_coding
FH,ENSG00000091483,1,protein_coding
SEL1L3,ENSG00000091490,4,protein_coding
TF,ENSG00000091513,3,protein_coding
CDV3,ENSG00000091527,3,protein_coding
MYO15A,ENSG00000091536,17,protein_coding
ALKBH5,ENSG00000091542,17,protein_coding
APOH,ENSG00000091583,17,protein_coding
NLRP1,ENSG00000091592,17,protein_coding
PITPNM3,ENSG00000091622,17,protein_coding
SPAG7,ENSG00000091640,17,protein_coding
ORC6,ENSG00000091651,16,protein_coding
ZFHX4,ENSG00000091656,8,protein_coding
SLC17A6,ENSG00000091664,11,protein_coding
CPA1,ENSG00000091704,7,protein_coding
ZC3HC1,ENSG00000091732,7,protein_coding
ESR1,ENSG00000091831,6,protein_coding
RGS17,ENSG00000091844,6,protein_coding
ANGPT2,ENSG00000091879,8,protein_coding
TMEM101,ENSG00000091947,17,protein_coding
CD200,ENSG00000091972,3,protein_coding
CCDC80,ENSG00000091986,3,protein_coding
CMA1,ENSG00000092009,14,protein_coding
PSME1,ENSG00000092010,14,protein_coding
PPP2R3C,ENSG00000092020,14,protein_coding
HAUS4,ENSG00000092036,14,protein_coding
JPH4,ENSG00000092051,14,protein_coding
MYH7,ENSG00000092054,14,protein_coding
CEBPE,ENSG00000092067,14,protein_coding
SLC7A8,ENSG00000092068,14,protein_coding
OSGEP,ENSG00000092094,14,protein_coding
SLC22A17,ENSG00000092096,14,protein_coding
RNF31,ENSG00000092098,14,protein_coding
SCFD1,ENSG00000092108,14,protein_coding
G2E3,ENSG00000092140,14,protein_coding
HECTD1,ENSG00000092148,14,protein_coding
HNRNPC,ENSG00000092199,14,protein_coding
RPGRIP1,ENSG00000092200,14,protein_coding
SUPT16H,ENSG00000092201,14,protein_coding
TOX4,ENSG00000092203,14,protein_coding
GEMIN2,ENSG00000092208,14,protein_coding
TGM1,ENSG00000092295,14,protein_coding
TINF2,ENSG00000092330,14,protein_coding
DAZL,ENSG00000092345,3,protein_coding
TBL1Y,ENSG00000092377,Y,protein_coding
SEMA6A,ENSG00000092421,5,protein_coding
TRPM7,ENSG00000092439,15,protein_coding
TYRO3,ENSG00000092445,15,protein_coding
WDR76,ENSG00000092470,15,protein_coding
CAPN3,ENSG00000092529,15,protein_coding
SNAP23,ENSG00000092531,15,protein_coding
TBX15,ENSG00000092607,1,protein_coding
PHGDH,ENSG00000092621,1,protein_coding
COL9A3,ENSG00000092758,20,protein_coding
EZR,ENSG00000092820,6,protein_coding
MYL6,ENSG00000092841,12,protein_coding
AGO1,ENSG00000092847,1,protein_coding
TEKT2,ENSG00000092850,1,protein_coding
CLSPN,ENSG00000092853,1,protein_coding
RFFL,ENSG00000092871,17,protein_coding
UNC13D,ENSG00000092929,17,protein_coding
MFSD11,ENSG00000092931,17,protein_coding
DPYSL2,ENSG00000092964,8,protein_coding
TGFB2,ENSG00000092969,1,protein_coding
GPATCH2,ENSG00000092978,1,protein_coding
NUP50,ENSG00000093000,22,protein_coding
CDC45,ENSG00000093009,22,protein_coding
COMT,ENSG00000093010,22,protein_coding
ECHDC1,ENSG00000093144,6,protein_coding
LRRFIP2,ENSG00000093167,3,protein_coding
SEC22C,ENSG00000093183,3,protein_coding
XYLB,ENSG00000093217,3,protein_coding
HDAC6,ENSG00000094631,X,protein_coding
OR1I1,ENSG00000094661,19,protein_coding
GABRP,ENSG00000094755,5,protein_coding
KRT31,ENSG00000094796,17,protein_coding
CDC6,ENSG00000094804,17,protein_coding
UPRT,ENSG00000094841,X,protein_coding
CDC23,ENSG00000094880,5,protein_coding
AAAS,ENSG00000094914,12,protein_coding
CBX5,ENSG00000094916,12,protein_coding
FMO2,ENSG00000094963,1,protein_coding
SUCO,ENSG00000094975,1,protein_coding
MSH2,ENSG00000095002,2,protein_coding
MAP3K1,ENSG00000095015,5,protein_coding
DHPS,ENSG00000095059,19,protein_coding
HOOK2,ENSG00000095066,19,protein_coding
NXPE1,ENSG00000095110,11,protein_coding
ARCN1,ENSG00000095139,11,protein_coding
EPB41L4B,ENSG00000095203,9,protein_coding
TMEM38B,ENSG00000095209,9,protein_coding
PSMD5,ENSG00000095261,9,protein_coding
PTGS1,ENSG00000095303,9,protein_coding
NUP188,ENSG00000095319,9,protein_coding
CRAT,ENSG00000095321,9,protein_coding
SH2D3C,ENSG00000095370,9,protein_coding
NANS,ENSG00000095380,9,protein_coding
TBC1D2,ENSG00000095383,9,protein_coding
WHRN,ENSG00000095397,9,protein_coding
PDE6C,ENSG00000095464,10,protein_coding
CWF19L1,ENSG00000095485,10,protein_coding
SEMA4G,ENSG00000095539,10,protein_coding
BTAF1,ENSG00000095564,10,protein_coding
IKZF5,ENSG00000095574,10,protein_coding
BLNK,ENSG00000095585,10,protein_coding
TLL2,ENSG00000095587,10,protein_coding
CYP26A1,ENSG00000095596,10,protein_coding
TDRD1,ENSG00000095627,10,protein_coding
SORBS1,ENSG00000095637,10,protein_coding
CRTAC1,ENSG00000095713,10,protein_coding
BAMBI,ENSG00000095739,10,protein_coding
IL11,ENSG00000095752,19,protein_coding
MYO3A,ENSG00000095777,10,protein_coding
WAC,ENSG00000095787,10,protein_coding
CREM,ENSG00000095794,10,protein_coding
NUBP2,ENSG00000095906,16,protein_coding
TPSD1,ENSG00000095917,16,protein_coding
SMIM24,ENSG00000095932,19,protein_coding
HIVEP1,ENSG00000095951,6,protein_coding
TREM2,ENSG00000095970,6,protein_coding
KCNK16,ENSG00000095981,6,protein_coding
CRISP3,ENSG00000096006,6,protein_coding
FKBP5,ENSG00000096060,6,protein_coding
SRPK1,ENSG00000096063,6,protein_coding
BRPF3,ENSG00000096070,6,protein_coding
MRPS18A,ENSG00000096080,6,protein_coding
PGC,ENSG00000096088,6,protein_coding
TMEM14A,ENSG00000096092,6,protein_coding
EFHC1,ENSG00000096093,6,protein_coding
NCR2,ENSG00000096264,6,protein_coding
HSP90AB1,ENSG00000096384,6,protein_coding
MLN,ENSG00000096395,6,protein_coding
CDC5L,ENSG00000096401,6,protein_coding
ITPR3,ENSG00000096433,6,protein_coding
ZNF184,ENSG00000096654,6,protein_coding
DSP,ENSG00000096696,6,protein_coding
SIRT1,ENSG00000096717,10,protein_coding
HNRNPH3,ENSG00000096746,10,protein_coding
IFT74,ENSG00000096872,9,protein_coding
JAK2,ENSG00000096968,9,protein_coding
IL12RB1,ENSG00000096996,19,protein_coding
ABL1,ENSG00000097007,9,protein_coding
ACOT7,ENSG00000097021,1,protein_coding
SH3GLB1,ENSG00000097033,1,protein_coding
CDC7,ENSG00000097046,1,protein_coding
SYDE2,ENSG00000097096,1,protein_coding
PCSK5,ENSG00000099139,9,protein_coding
SCD,ENSG00000099194,10,protein_coding
TMED1,ENSG00000099203,19,protein_coding
ABLIM1,ENSG00000099204,10,protein_coding
ERMP1,ENSG00000099219,9,protein_coding
RAB18,ENSG00000099246,10,protein_coding
NRP1,ENSG00000099250,10,protein_coding
PRTFDC1,ENSG00000099256,10,protein_coding
PALMD,ENSG00000099260,1,protein_coding
TSPAN15,ENSG00000099282,10,protein_coding
WASHC2A,ENSG00000099290,10,protein_coding
MAST3,ENSG00000099308,19,protein_coding
MZF1,ENSG00000099326,19,protein_coding
OCEL1,ENSG00000099330,19,protein_coding
MYO9B,ENSG00000099331,19,protein_coding
KCNK6,ENSG00000099337,19,protein_coding
CATSPERG,ENSG00000099338,19,protein_coding
PSMD8,ENSG00000099341,19,protein_coding
FBXL19,ENSG00000099364,16,protein_coding
STX1B,ENSG00000099365,16,protein_coding
HSD3B7,ENSG00000099377,16,protein_coding
SETD1A,ENSG00000099381,16,protein_coding
BCL7C,ENSG00000099385,16,protein_coding
MAGEB2,ENSG00000099399,X,protein_coding
EFNA2,ENSG00000099617,19,protein_coding
CIRBP,ENSG00000099622,19,protein_coding
CBARP,ENSG00000099625,19,protein_coding
PCDH11Y,ENSG00000099715,Y,protein_coding
AMELY,ENSG00000099721,Y,protein_coding
IGFALS,ENSG00000099769,16,protein_coding
HNRNPM,ENSG00000099783,19,protein_coding
NDUFB7,ENSG00000099795,19,protein_coding
TECR,ENSG00000099797,19,protein_coding
TIMM13,ENSG00000099800,19,protein_coding
CDC34,ENSG00000099804,19,protein_coding
MTAP,ENSG00000099810,9,protein_coding
MISP,ENSG00000099812,19,protein_coding
CEP170B,ENSG00000099814,14,protein_coding
POLR2E,ENSG00000099817,19,protein_coding
POLRMT,ENSG00000099821,19,protein_coding
HCN2,ENSG00000099822,19,protein_coding
CDHR5,ENSG00000099834,11,protein_coding
IZUMO4,ENSG00000099840,19,protein_coding
RASSF7,ENSG00000099849,11,protein_coding
GADD45B,ENSG00000099860,19,protein_coding
PALM,ENSG00000099864,19,protein_coding
MADCAM1,ENSG00000099866,19,protein_coding
MKNK2,ENSG00000099875,19,protein_coding
ARVCF,ENSG00000099889,22,protein_coding
TRMT2A,ENSG00000099899,22,protein_coding
RANBP1,ENSG00000099901,22,protein_coding
ZDHHC8,ENSG00000099904,22,protein_coding
KLHL22,ENSG00000099910,22,protein_coding
MED15,ENSG00000099917,22,protein_coding
SERPIND1,ENSG00000099937,22,protein_coding
SNAP29,ENSG00000099940,22,protein_coding
CRKL,ENSG00000099942,22,protein_coding
LZTR1,ENSG00000099949,22,protein_coding
MMP11,ENSG00000099953,22,protein_coding
CECR2,ENSG00000099954,22,protein_coding
SMARCB1,ENSG00000099956,22,protein_coding
P2RX6,ENSG00000099957,22,protein_coding
DERL3,ENSG00000099958,22,protein_coding
SLC7A4,ENSG00000099960,22,protein_coding
BCL2L13,ENSG00000099968,22,protein_coding
DDTL,ENSG00000099974,22,protein_coding
DDT,ENSG00000099977,22,protein_coding
GSTT2,ENSG00000099984,22,protein_coding
OSM,ENSG00000099985,22,protein_coding
CABIN1,ENSG00000099991,22,protein_coding
TBC1D10A,ENSG00000099992,22,protein_coding
SUSD2,ENSG00000099994,22,protein_coding
SF3A1,ENSG00000099995,22,protein_coding
GGT5,ENSG00000099998,22,protein_coding
RNF215,ENSG00000099999,22,protein_coding
SEC14L2,ENSG00000100003,22,protein_coding
SEC14L3,ENSG00000100012,22,protein_coding
SPECC1L,ENSG00000100014,22,protein_coding
PPIL2,ENSG00000100023,22,protein_coding
UPB1,ENSG00000100024,22,protein_coding
YPEL1,ENSG00000100027,22,protein_coding
SNRPD3,ENSG00000100028,22,protein_coding
PES1,ENSG00000100029,22,protein_coding
MAPK1,ENSG00000100030,22,protein_coding
GGT1,ENSG00000100031,22,protein_coding
PRODH,ENSG00000100033,22,protein_coding
PPM1F,ENSG00000100034,22,protein_coding
SLC35E4,ENSG00000100036,22,protein_coding
TOP3B,ENSG00000100038,22,protein_coding
CRYBB3,ENSG00000100053,22,protein_coding
CYTH4,ENSG00000100055,22,protein_coding
MFNG,ENSG00000100060,22,protein_coding
CARD10,ENSG00000100065,22,protein_coding
SLC25A1,ENSG00000100075,22,protein_coding
GRK3,ENSG00000100077,22,protein_coding
PLA2G3,ENSG00000100078,22,protein_coding
LGALS2,ENSG00000100079,22,protein_coding
GGA1,ENSG00000100083,22,protein_coding
HIRA,ENSG00000100084,22,protein_coding
SH3BP1,ENSG00000100092,22,protein_coding
SEZ6L,ENSG00000100095,22,protein_coding
LGALS1,ENSG00000100097,22,protein_coding
HPS4,ENSG00000100099,22,protein_coding
PIK3IP1,ENSG00000100100,22,protein_coding
SRRD,ENSG00000100104,22,protein_coding
PATZ1,ENSG00000100105,22,protein_coding
TRIOBP,ENSG00000100106,22,protein_coding
TFIP11,ENSG00000100109,22,protein_coding
GCAT,ENSG00000100116,22,protein_coding
GGTLC2,ENSG00000100121,22,protein_coding
CRYBB1,ENSG00000100122,22,protein_coding
ANKRD54,ENSG00000100124,22,protein_coding
EIF3L,ENSG00000100129,22,protein_coding
SNU13,ENSG00000100138,22,protein_coding
MICALL1,ENSG00000100139,22,protein_coding
POLR2F,ENSG00000100142,22,protein_coding
CCDC134,ENSG00000100147,22,protein_coding
DEPDC5,ENSG00000100150,22,protein_coding
PICK1,ENSG00000100151,22,protein_coding
TTC28,ENSG00000100154,22,protein_coding
SLC16A8,ENSG00000100156,22,protein_coding
CENPM,ENSG00000100162,22,protein_coding
SLC5A1,ENSG00000100170,22,protein_coding
SLC5A4,ENSG00000100191,22,protein_coding
KDELR3,ENSG00000100196,22,protein_coding
CYP2D6,ENSG00000100197,22,protein_coding
DDX17,ENSG00000100201,22,protein_coding
DMC1,ENSG00000100206,22,protein_coding
TCF20,ENSG00000100207,22,protein_coding
HSCB,ENSG00000100209,22,protein_coding
CBY1,ENSG00000100211,22,protein_coding
TOMM22,ENSG00000100216,22,protein_coding
RSPH14,ENSG00000100218,22,protein_coding
XBP1,ENSG00000100219,22,protein_coding
RTCB,ENSG00000100220,22,protein_coding
JOSD1,ENSG00000100221,22,protein_coding
FBXO7,ENSG00000100225,22,protein_coding
GTPBP1,ENSG00000100226,22,protein_coding
POLDIP3,ENSG00000100227,22,protein_coding
RAB36,ENSG00000100228,22,protein_coding
TIMP3,ENSG00000100234,22,protein_coding
PPP6R2,ENSG00000100239,22,protein_coding
